Ticket_ID,Age,Ticket_Price,Movie_Genre,Seat_Type,Number_of_Person,Purchase_Again
X7294,37,10.38,Sci-Fi,VIP,5,Yes
N0333,60,17.53,Sci-Fi,VIP,Alone,No
R8256,25,24.42,Action,VIP,Alone,No
G9983,38,12.81,Action,Standard,6,No
G3617,36,22.2,Sci-Fi,Premium,Alone,No
M1624,40,19.75,Sci-Fi,Premium,7,Yes
W0863,30,10.63,Horror,Premium,6,No
S4073,54,11.77,Comedy,Standard,4,No
O8419,46,16.96,Comedy,Premium,2,Yes
P9246,34,24.65,Action,VIP,Alone,Yes
K9692,46,24.87,Sci-Fi,Premium,Alone,Yes
M7393,25,14.44,Sci-Fi,Standard,5,Yes
J3810,29,18.41,Horror,Premium,3,Yes
O7835,42,24.47,Drama,Premium,Alone,No
G8002,59,20.12,Horror,Premium,Alone,No
C7519,57,22.07,Drama,Standard,Alone,Yes
W0782,38,23.01,Drama,Premium,Alone,Yes
I6505,18,17.08,Sci-Fi,VIP,Alone,Yes
U3419,36,24.12,Action,Standard,Alone,Yes
S8354,42,24.51,Action,Standard,5,No
W1190,49,23.81,Horror,VIP,7,Yes
R3498,54,16.61,Sci-Fi,Standard,3,No
F6097,18,18.86,Horror,Premium,3,Yes
H2276,23,11.21,Comedy,Premium,Alone,No
D3993,33,21.54,Action,Standard,Alone,No
V0936,21,19.94,Sci-Fi,Premium,Alone,No
S2077,30,15.04,Sci-Fi,Standard,4,No
X6087,26,18.44,Comedy,VIP,Alone,No
K0251,40,14.08,Drama,VIP,5,No
F3865,19,12.48,Action,Premium,5,Yes
U5529,58,22.32,Comedy,Premium,3,Yes
N6649,19,13.64,Horror,VIP,Alone,Yes
Y7689,36,20.19,Comedy,Premium,2,Yes
J0449,32,17.33,Sci-Fi,Premium,Alone,No
O2503,26,24.19,Comedy,Standard,Alone,Yes
B8877,52,21.5,Horror,Standard,7,Yes
Z2085,58,23.76,Comedy,Premium,6,No
T8611,56,15.76,Action,Standard,Alone,Yes
Z4654,55,14.37,Action,Premium,Alone,No
I1871,52,11.91,Sci-Fi,VIP,Alone,No
Z2623,34,14.23,Sci-Fi,VIP,Alone,Yes
J3585,44,19.83,Horror,VIP,6,Yes
X7172,26,19.87,Sci-Fi,Standard,5,No
T8659,38,11.95,Action,Standard,3,No
E9959,34,13.82,Action,Premium,4,No
O5505,46,18.45,Drama,Standard,5,Yes
L5134,26,21.27,Sci-Fi,VIP,Alone,No
L0572,55,22.77,Action,Standard,6,No
R5366,28,20.37,Action,Premium,Alone,No
V9452,53,12.19,Drama,Standard,Alone,Yes
V6506,31,22.76,Action,Standard,2,Yes
Z0037,21,15.24,Sci-Fi,VIP,4,No
T0216,20,11.61,Action,VIP,7,Yes
D4263,56,22.18,Action,Premium,Alone,No
Z1477,52,18.13,Drama,Standard,Alone,No
H5571,30,18.64,Horror,Standard,7,Yes
A6968,49,14.09,Comedy,Standard,6,Yes
A8189,27,18.47,Comedy,VIP,6,Yes
S5270,27,22.71,Action,VIP,Alone,No
I8470,25,16.84,Sci-Fi,VIP,Alone,No
F8933,56,23.11,Horror,Premium,Alone,Yes
X2134,38,15.42,Sci-Fi,Standard,Alone,Yes
Z4627,47,24.08,Comedy,Premium,6,No
H9718,59,20.67,Sci-Fi,Standard,2,No
B6296,18,24.97,Horror,Standard,Alone,Yes
K4864,20,24.05,Drama,Premium,2,No
Z1517,33,18.2,Action,VIP,Alone,No
N2364,23,20.94,Drama,VIP,6,No
P1972,28,13.99,Horror,VIP,6,Yes
Z1180,34,11.22,Action,VIP,Alone,Yes
A9621,44,19.1,Comedy,Standard,Alone,No
O4860,30,23.23,Action,VIP,Alone,Yes
M9619,27,22.6,Horror,Premium,6,No
R0226,53,10.48,Action,Standard,Alone,Yes
Z2342,25,17.03,Action,Standard,Alone,No
Y3751,48,19.44,Action,Standard,5,Yes
Y9313,52,13.6,Sci-Fi,Premium,5,Yes
J6015,55,11.14,Action,VIP,Alone,Yes
G9843,19,13.82,Drama,VIP,2,Yes
M1901,42,23.22,Drama,VIP,Alone,No
P4219,24,13.15,Drama,VIP,2,Yes
P6917,42,10.12,Comedy,VIP,6,No
O7834,32,20.84,Horror,Premium,2,No
B3397,20,17.16,Horror,Premium,Alone,No
O6096,41,17.78,Action,Standard,Alone,Yes
T0002,27,13.6,Comedy,VIP,5,Yes
P6849,44,22.0,Comedy,Premium,7,No
C9487,37,18.64,Drama,Standard,4,No
J2965,60,19.66,Horror,Standard,Alone,Yes
M8590,29,11.34,Sci-Fi,Standard,2,Yes
Q1525,57,22.52,Sci-Fi,Standard,4,Yes
H4515,37,12.87,Action,VIP,Alone,Yes
M4762,37,16.45,Drama,VIP,Alone,No
K5848,41,22.33,Action,VIP,Alone,No
U2351,25,16.18,Comedy,Premium,3,No
Q7732,58,24.17,Horror,Standard,Alone,No
H8110,21,15.71,Sci-Fi,VIP,Alone,No
L8089,59,11.33,Drama,VIP,6,Yes
U8857,40,13.72,Sci-Fi,Premium,Alone,Yes
W5960,52,19.13,Drama,Standard,3,Yes
H7279,43,21.81,Drama,VIP,Alone,Yes
Y7094,20,23.02,Sci-Fi,VIP,Alone,No
Z1901,56,16.41,Action,VIP,3,No
C3171,47,24.21,Sci-Fi,VIP,Alone,No
M8243,37,10.04,Action,Standard,Alone,No
E0024,47,17.69,Comedy,Premium,Alone,No
W2969,55,11.76,Drama,Standard,Alone,Yes
V6193,20,17.35,Action,VIP,Alone,Yes
O8682,38,24.76,Drama,VIP,Alone,No
U9667,49,18.26,Drama,Standard,Alone,Yes
O4424,29,11.22,Horror,VIP,4,Yes
H2558,35,14.31,Horror,VIP,Alone,No
R7206,50,23.17,Sci-Fi,VIP,Alone,Yes
U8822,29,13.17,Drama,VIP,4,No
B3577,40,20.41,Sci-Fi,Premium,6,No
N1330,24,21.07,Action,Standard,Alone,No
D0301,37,16.66,Sci-Fi,VIP,7,No
G4519,51,16.98,Comedy,Premium,3,No
X4893,40,16.2,Sci-Fi,Standard,Alone,No
X7335,44,23.06,Comedy,Premium,7,No
C6210,27,20.75,Comedy,VIP,Alone,No
R4165,37,11.75,Horror,VIP,4,No
L9634,22,11.39,Comedy,VIP,Alone,Yes
W8659,39,22.42,Comedy,Premium,Alone,Yes
K8116,51,14.43,Drama,Premium,3,No
T8064,24,18.22,Comedy,Standard,Alone,Yes
T2129,31,11.04,Drama,VIP,7,Yes
A4723,44,13.62,Horror,Premium,6,Yes
G2177,44,20.73,Action,VIP,Alone,Yes
H9793,56,10.15,Sci-Fi,VIP,5,No
L4163,38,21.7,Comedy,VIP,2,Yes
T2013,34,15.14,Horror,VIP,6,No
A7217,46,24.98,Horror,VIP,Alone,No
B9303,46,11.71,Drama,VIP,2,Yes
V6391,53,20.47,Horror,Premium,6,Yes
D6962,42,23.83,Action,Premium,Alone,Yes
G2229,18,19.47,Drama,Premium,Alone,No
T0480,51,17.2,Action,VIP,Alone,Yes
M1015,21,13.69,Action,Premium,6,No
D5863,21,20.48,Sci-Fi,VIP,5,No
V2226,40,15.56,Horror,Standard,Alone,No
S6536,35,10.57,Sci-Fi,Premium,Alone,Yes
Y9868,43,21.99,Drama,Standard,6,Yes
E9522,23,19.46,Sci-Fi,Standard,Alone,Yes
D8335,37,11.11,Action,VIP,Alone,Yes
Y6028,58,14.83,Action,VIP,Alone,Yes
W3416,58,22.23,Horror,VIP,7,Yes
R3938,41,10.47,Horror,VIP,Alone,Yes
Z7405,39,20.16,Comedy,Standard,2,Yes
D3652,57,10.57,Sci-Fi,Standard,Alone,Yes
R4795,38,20.23,Sci-Fi,Standard,Alone,Yes
L0702,36,13.41,Horror,Premium,Alone,Yes
H8796,42,12.35,Drama,Standard,4,No
D5034,18,12.26,Sci-Fi,VIP,Alone,No
E9733,60,22.7,Action,Premium,3,Yes
P2342,38,17.64,Sci-Fi,Standard,3,No
A2343,47,22.4,Sci-Fi,Standard,4,No
Q6051,20,22.68,Comedy,Premium,Alone,No
O4791,30,18.51,Horror,VIP,Alone,Yes
A2841,33,14.18,Horror,VIP,Alone,No
S6414,34,14.44,Horror,VIP,6,No
E9609,44,13.83,Horror,Premium,Alone,Yes
M3907,50,12.67,Action,Premium,2,Yes
P7041,47,23.99,Comedy,Premium,2,No
L9146,60,11.91,Comedy,VIP,5,Yes
X0241,25,21.72,Action,VIP,Alone,Yes
N4903,55,11.33,Sci-Fi,Premium,3,No
J3856,22,10.31,Action,Premium,5,No
X5271,19,22.66,Comedy,Standard,2,No
O2974,53,24.68,Horror,Premium,Alone,No
L2663,20,17.77,Sci-Fi,VIP,4,No
B1441,36,22.79,Sci-Fi,Premium,5,Yes
R9317,38,12.12,Horror,VIP,2,Yes
U4070,28,10.58,Comedy,VIP,Alone,No
T6005,20,20.71,Action,Premium,6,No
E8006,41,11.45,Comedy,Premium,Alone,No
K9734,21,21.8,Action,VIP,Alone,Yes
I8504,38,15.87,Action,Standard,Alone,Yes
H0907,38,11.01,Drama,VIP,Alone,Yes
K1979,28,20.2,Horror,VIP,6,Yes
X3910,50,17.59,Action,VIP,7,No
B6802,28,24.86,Horror,VIP,4,No
X1245,22,12.63,Sci-Fi,Standard,Alone,Yes
M9692,35,16.01,Drama,Standard,6,Yes
W7379,57,13.46,Action,VIP,Alone,No
B9367,43,16.4,Action,Standard,Alone,Yes
L9477,35,18.73,Action,Premium,Alone,Yes
I2711,49,12.44,Drama,VIP,4,No
C4526,42,19.51,Horror,Premium,6,No
R5968,60,22.72,Action,VIP,Alone,No
R3741,53,10.79,Action,Standard,2,No
P8819,43,22.17,Sci-Fi,Premium,Alone,Yes
U8338,49,23.73,Drama,Premium,Alone,Yes
Y7492,21,24.26,Sci-Fi,VIP,3,No
F1452,35,24.45,Horror,Premium,6,No
T1841,44,22.32,Comedy,Premium,2,No
K5901,58,12.34,Horror,VIP,Alone,No
C4408,48,15.68,Comedy,VIP,3,Yes
A8762,50,24.06,Sci-Fi,VIP,Alone,No
D2487,58,21.32,Horror,Premium,6,No
J4530,35,23.45,Comedy,Standard,Alone,Yes
M7521,54,21.26,Drama,Standard,Alone,No
F7654,19,10.41,Drama,Standard,Alone,Yes
Z5538,57,20.22,Comedy,VIP,Alone,Yes
Q2128,55,18.77,Comedy,VIP,7,No
Y0420,59,16.81,Action,Premium,3,Yes
U6087,58,14.7,Drama,Standard,7,No
O7784,30,13.99,Action,Premium,Alone,No
B6927,46,20.58,Comedy,Standard,Alone,No
W0336,52,21.93,Comedy,Standard,2,No
E5978,20,20.02,Action,Premium,Alone,Yes
O9795,41,24.6,Action,VIP,4,No
O7894,18,16.55,Action,Standard,7,Yes
S7850,50,14.29,Horror,Standard,Alone,Yes
R5176,23,10.95,Action,Standard,Alone,No
Z5642,60,17.76,Horror,VIP,Alone,Yes
N1656,22,21.01,Action,VIP,7,Yes
U6629,35,23.4,Drama,VIP,7,No
F7192,18,18.76,Sci-Fi,Premium,7,Yes
G4707,35,23.9,Drama,VIP,4,Yes
F9671,33,14.95,Sci-Fi,Premium,Alone,Yes
T2836,23,24.94,Horror,VIP,2,No
W2315,60,14.26,Horror,Premium,3,No
P5536,22,10.43,Drama,Standard,6,Yes
J8443,23,12.04,Drama,VIP,7,No
T9705,49,19.03,Action,VIP,Alone,Yes
F8157,41,16.63,Comedy,Premium,Alone,Yes
V4673,39,14.02,Horror,Premium,Alone,Yes
O9429,60,17.8,Comedy,Standard,Alone,No
N4941,58,14.3,Horror,Standard,Alone,Yes
R5679,22,21.0,Horror,Premium,Alone,No
Y5529,54,20.12,Drama,VIP,Alone,Yes
R0452,57,12.39,Drama,VIP,7,No
L7692,38,13.29,Horror,Standard,7,Yes
V3147,23,12.97,Drama,Premium,Alone,No
F9676,55,13.63,Horror,VIP,Alone,Yes
H5782,32,18.08,Horror,Standard,2,Yes
N1362,39,11.21,Comedy,VIP,Alone,No
V4889,57,22.9,Sci-Fi,VIP,Alone,No
U1656,45,16.35,Sci-Fi,Premium,6,No
G9610,27,22.71,Horror,Standard,Alone,Yes
S7659,53,12.89,Horror,VIP,4,Yes
S5665,33,21.35,Horror,Premium,Alone,Yes
Y8317,29,23.55,Horror,Premium,Alone,Yes
Z4944,60,16.26,Horror,VIP,Alone,No
Q6063,56,24.92,Comedy,Standard,Alone,Yes
W9717,26,15.19,Comedy,Premium,2,Yes
F7940,39,16.69,Action,Standard,3,No
T5282,25,16.74,Sci-Fi,Premium,2,No
C0056,20,10.17,Sci-Fi,Premium,7,Yes
L3931,23,19.8,Horror,Standard,7,Yes
M7391,35,22.85,Comedy,Premium,Alone,Yes
K7435,57,10.22,Drama,Premium,Alone,Yes
X4739,19,18.81,Sci-Fi,VIP,Alone,Yes
W3570,38,18.25,Horror,Premium,6,No
Q1582,26,11.2,Sci-Fi,Premium,4,No
A0761,42,11.89,Action,Premium,Alone,Yes
B5437,56,14.81,Action,Standard,Alone,Yes
Z9239,59,12.92,Drama,Premium,3,No
V0671,23,24.09,Drama,Premium,Alone,No
P0882,21,15.79,Comedy,Premium,7,Yes
T7439,57,21.91,Comedy,Premium,Alone,No
T7322,50,23.11,Horror,Premium,6,No
T8561,42,15.69,Comedy,Standard,Alone,Yes
M0037,27,11.7,Action,Standard,Alone,No
Q8028,38,15.64,Horror,Standard,7,No
F0706,59,24.75,Action,VIP,Alone,Yes
D4105,54,24.61,Comedy,VIP,Alone,No
Z8954,58,11.29,Drama,Standard,2,No
B2343,20,11.09,Action,Premium,5,Yes
G4586,27,14.31,Drama,Premium,7,Yes
A6502,58,11.5,Horror,Standard,5,No
Q7827,52,19.72,Horror,VIP,Alone,Yes
Q4426,49,16.19,Horror,Standard,4,Yes
J3002,36,23.45,Comedy,VIP,Alone,Yes
U2469,44,18.96,Horror,VIP,3,Yes
J0828,54,11.59,Sci-Fi,VIP,6,No
U4513,26,13.87,Horror,Premium,Alone,No
X6780,58,12.17,Horror,Standard,Alone,Yes
W7337,38,21.91,Drama,Standard,Alone,Yes
Y8442,51,15.73,Drama,VIP,6,No
V6312,23,10.33,Sci-Fi,Standard,2,No
V7701,36,17.0,Horror,Standard,6,No
L1625,33,18.72,Sci-Fi,Standard,Alone,No
N2433,43,20.6,Sci-Fi,Standard,3,Yes
R7354,44,18.03,Comedy,Premium,Alone,Yes
K2997,34,14.95,Horror,Standard,Alone,No
S9901,46,11.08,Horror,VIP,3,No
C1679,30,13.08,Horror,Premium,Alone,No
V6948,36,17.1,Drama,Standard,7,No
B8230,33,12.21,Horror,VIP,7,Yes
X6978,54,20.85,Drama,VIP,Alone,No
W1683,58,21.72,Horror,Premium,Alone,Yes
D9944,26,13.34,Drama,Premium,Alone,No
R9239,44,20.65,Drama,Standard,2,Yes
L1683,60,21.4,Comedy,Standard,Alone,Yes
Q6689,32,10.66,Drama,Premium,Alone,Yes
C2441,33,17.41,Drama,Standard,Alone,No
R5530,26,14.78,Action,VIP,Alone,No
V8104,24,18.74,Sci-Fi,Premium,Alone,Yes
Y6284,31,20.43,Drama,Premium,3,No
G1121,53,21.91,Drama,Premium,Alone,Yes
I5901,38,24.92,Horror,Premium,Alone,Yes
V6954,60,17.61,Comedy,VIP,Alone,No
Z8779,19,14.47,Action,Standard,2,No
V4938,56,15.49,Drama,VIP,7,Yes
P7000,50,20.66,Drama,VIP,Alone,Yes
G7283,59,17.78,Comedy,VIP,2,Yes
A2805,57,10.7,Action,Standard,Alone,Yes
W8442,43,17.7,Comedy,Premium,Alone,No
U6318,38,15.02,Sci-Fi,VIP,Alone,No
L0007,54,24.88,Sci-Fi,Standard,Alone,Yes
O6843,20,14.57,Drama,Standard,Alone,Yes
O8866,23,18.7,Action,VIP,6,Yes
F0953,31,22.95,Comedy,VIP,2,No
W7271,20,10.04,Comedy,VIP,7,Yes
J6878,57,16.43,Horror,Standard,Alone,Yes
R6150,45,15.98,Drama,Standard,2,No
E4975,37,23.41,Sci-Fi,VIP,6,Yes
X2814,41,20.0,Action,VIP,5,No
R4299,39,15.57,Sci-Fi,Standard,Alone,No
X8783,50,11.26,Drama,Standard,4,Yes
X9373,24,24.21,Sci-Fi,Standard,6,No
J4860,58,16.21,Action,Standard,3,No
E1815,46,19.79,Drama,Premium,7,Yes
R3060,55,22.2,Comedy,VIP,Alone,No
Z9849,46,21.41,Action,VIP,Alone,Yes
Y3923,31,15.53,Drama,Premium,4,No
C5867,19,15.0,Horror,Premium,7,Yes
E0055,41,17.59,Sci-Fi,Standard,3,Yes
D1937,49,13.15,Sci-Fi,VIP,6,No
P5929,42,19.87,Action,VIP,Alone,No
J5224,47,19.38,Action,VIP,Alone,Yes
C1874,37,17.53,Action,Standard,Alone,No
O7454,51,13.97,Drama,Standard,Alone,Yes
K7545,47,20.16,Sci-Fi,VIP,7,No
C6888,50,19.68,Sci-Fi,Standard,6,No
W4296,39,10.63,Action,Premium,2,Yes
P4369,41,10.13,Horror,VIP,4,No
W7738,46,19.48,Action,VIP,3,No
L7697,24,15.27,Comedy,VIP,7,Yes
I4912,54,17.6,Action,VIP,3,Yes
M4743,44,16.37,Drama,Premium,Alone,No
B0938,54,17.71,Action,Standard,4,No
P6835,51,18.03,Comedy,Standard,Alone,No
V7658,43,17.34,Drama,Standard,Alone,Yes
R1173,46,23.4,Sci-Fi,Premium,4,No
W8632,35,14.11,Action,Standard,3,No
W8747,43,23.83,Sci-Fi,Premium,3,No
C1677,26,23.35,Comedy,VIP,4,No
D9009,49,15.09,Horror,Standard,Alone,Yes
C4344,53,16.3,Horror,VIP,Alone,Yes
R7418,18,20.7,Comedy,Standard,Alone,Yes
I9728,54,24.16,Sci-Fi,Premium,3,Yes
J8663,27,21.88,Drama,Standard,3,Yes
H2552,48,14.32,Horror,Standard,5,Yes
Q2504,22,16.49,Comedy,Standard,7,No
F6545,20,24.17,Sci-Fi,Premium,Alone,Yes
U2289,29,17.08,Action,Standard,2,Yes
H0386,40,19.49,Comedy,VIP,Alone,No
E2511,47,10.69,Drama,Standard,Alone,No
W3659,47,12.08,Comedy,Premium,Alone,No
D9861,19,11.67,Drama,VIP,Alone,No
C8708,26,17.78,Drama,Premium,Alone,No
G3002,26,14.04,Drama,Standard,5,No
N4930,20,16.96,Horror,Standard,4,Yes
V8852,36,12.28,Action,VIP,2,Yes
W6958,28,19.41,Drama,Standard,Alone,Yes
G1778,31,21.6,Drama,Premium,4,Yes
A4827,47,17.28,Horror,VIP,Alone,No
T8730,32,12.22,Action,Premium,Alone,No
W7299,56,22.88,Sci-Fi,Standard,Alone,No
B0273,47,15.87,Horror,Standard,6,No
B0051,55,19.32,Horror,Premium,7,No
W1342,35,16.24,Comedy,VIP,Alone,Yes
Q4942,36,20.68,Sci-Fi,VIP,Alone,Yes
I6311,43,15.63,Drama,Premium,4,No
Z7255,26,23.41,Horror,VIP,Alone,No
P6904,58,21.44,Action,Standard,7,No
A2032,44,14.62,Action,VIP,Alone,Yes
O2807,53,23.59,Horror,VIP,6,Yes
X5159,54,24.96,Horror,Standard,7,No
V8281,19,17.97,Action,Premium,6,Yes
N5669,39,12.4,Comedy,VIP,4,No
I9740,18,20.51,Horror,Standard,5,Yes
X4255,47,22.6,Horror,VIP,Alone,No
C8377,25,10.7,Horror,Premium,Alone,Yes
Y0986,41,20.6,Action,VIP,Alone,No
G4351,43,21.82,Horror,Standard,Alone,Yes
W1000,28,20.73,Horror,VIP,5,Yes
R0449,43,24.58,Horror,Standard,Alone,Yes
X9360,38,21.73,Horror,Premium,Alone,No
C0196,24,18.36,Comedy,VIP,6,No
L2296,57,15.22,Horror,Standard,2,Yes
S3356,24,16.75,Horror,Standard,Alone,No
J5246,23,18.28,Sci-Fi,Premium,Alone,No
B7133,50,17.28,Drama,Premium,Alone,No
W9224,32,23.44,Action,Standard,5,Yes
D8615,21,10.02,Drama,Premium,Alone,No
O9880,60,11.64,Comedy,VIP,5,Yes
O5757,57,11.9,Comedy,Standard,Alone,Yes
C7180,19,13.94,Comedy,Standard,3,Yes
E0759,46,13.84,Horror,Premium,6,Yes
A8268,43,23.8,Action,VIP,7,Yes
P0445,18,10.42,Comedy,VIP,Alone,No
I3647,46,10.45,Action,Premium,Alone,Yes
L4936,37,17.86,Comedy,Standard,Alone,No
L2439,50,15.23,Action,Premium,3,No
H7974,25,13.04,Drama,Premium,Alone,No
A9804,50,11.25,Comedy,Premium,Alone,Yes
S5399,42,22.78,Comedy,Premium,4,Yes
G1663,57,20.45,Comedy,VIP,7,No
P3925,45,10.94,Action,Standard,2,Yes
K4309,45,15.68,Action,Premium,Alone,Yes
W0666,35,15.15,Horror,Standard,4,Yes
I4034,38,15.37,Drama,VIP,Alone,No
O5114,54,21.88,Comedy,Premium,2,Yes
Y2384,25,16.56,Sci-Fi,VIP,Alone,No
W1383,23,14.47,Sci-Fi,Premium,4,Yes
R3873,49,24.95,Horror,Premium,4,No
G5641,27,18.76,Comedy,VIP,Alone,No
Y4995,27,16.01,Action,Standard,Alone,No
H9993,33,19.14,Sci-Fi,Standard,Alone,Yes
U3222,39,13.32,Drama,Standard,Alone,No
X2942,51,12.3,Drama,Standard,Alone,No
N8303,56,10.08,Action,Standard,2,Yes
V4268,34,12.34,Comedy,Premium,Alone,Yes
B5435,35,11.04,Horror,Premium,2,No
A7151,57,10.63,Comedy,Standard,2,No
O4626,47,11.55,Sci-Fi,Standard,5,Yes
I0739,56,18.3,Drama,VIP,Alone,Yes
E0474,32,11.1,Action,VIP,Alone,Yes
W8226,34,17.46,Action,Premium,7,Yes
E9333,37,11.4,Sci-Fi,VIP,6,No
X4653,27,15.26,Action,Standard,6,No
S8984,57,19.98,Action,VIP,4,No
I9302,30,23.86,Comedy,VIP,Alone,No
L8279,39,11.14,Horror,Standard,Alone,Yes
B5911,47,11.33,Action,Premium,Alone,Yes
Z4276,36,24.49,Comedy,Premium,2,Yes
N9811,19,12.91,Sci-Fi,Premium,Alone,No
Y9710,48,16.87,Action,Standard,3,Yes
U9924,29,12.6,Drama,VIP,Alone,Yes
T4015,29,11.16,Comedy,Premium,3,No
L0126,31,22.92,Drama,Premium,Alone,Yes
M4230,59,24.23,Horror,Standard,Alone,No
R9228,23,11.16,Comedy,VIP,7,No
R0528,53,20.83,Action,Premium,7,No
K3640,32,10.22,Action,VIP,6,Yes
J7406,23,21.48,Drama,Premium,5,Yes
I6312,30,18.39,Comedy,VIP,Alone,No
M0786,30,12.59,Comedy,VIP,2,No
B8174,50,12.82,Comedy,Standard,2,No
M9099,40,18.23,Action,Standard,6,Yes
G9299,47,10.98,Drama,Premium,4,Yes
P2457,23,20.45,Action,Standard,Alone,No
A2476,29,10.76,Comedy,Premium,3,Yes
H9796,34,16.12,Drama,Premium,Alone,No
H8721,47,12.38,Action,Standard,Alone,No
W4290,48,17.96,Action,Premium,4,No
Q1228,24,18.83,Horror,Premium,6,Yes
P9632,54,16.25,Comedy,Premium,Alone,Yes
R9199,50,18.52,Sci-Fi,VIP,Alone,Yes
M1442,42,21.16,Drama,VIP,5,Yes
P6033,25,13.24,Comedy,Standard,7,No
D7534,60,16.33,Sci-Fi,Premium,Alone,Yes
N7743,38,24.21,Sci-Fi,Standard,Alone,Yes
S8480,31,19.03,Comedy,VIP,Alone,No
V0327,19,16.02,Sci-Fi,Premium,Alone,Yes
Y7065,37,14.91,Horror,Premium,Alone,Yes
I9961,41,22.48,Sci-Fi,Standard,Alone,No
P4816,32,19.23,Drama,Premium,2,No
Q9931,29,14.6,Action,VIP,5,No
A3974,58,12.04,Action,Standard,Alone,Yes
P4007,47,23.12,Action,Premium,6,No
B1567,21,10.41,Comedy,VIP,5,Yes
E5406,41,17.09,Sci-Fi,Standard,2,Yes
C4357,19,11.45,Action,Standard,Alone,No
R7285,53,17.13,Comedy,Premium,Alone,Yes
W6360,34,20.25,Comedy,Premium,2,Yes
Z8034,60,21.9,Action,VIP,Alone,No
